Actual,Predicted,Error
100.0,97.9,2.0999999999999943
571630.0,542126.8181000005,29503.1818999995
5810.0,5163.5,646.5
11930.0,11789.6,140.39999999999964
35150.0,35616.7,-466.6999999999971
2850.0,2805.1,44.90000000000009
580.0,526.8,53.200000000000045
38330.0,38288.5,41.5
6050.0,5403.7,646.3000000000002
9080.0,9177.3,-97.29999999999927
230.0,237.1,-7.099999999999994
492470.0,494259.5947000002,-1789.5947000001906
5800.0,5341.3,458.6999999999998
472399.99,464589.0034000001,7810.986599999887
45210.0,42542.9,2667.0999999999985
56300.0,55443.9,856.0999999999985
6640.0,7370.7,-730.6999999999998
3270.0,2739.5,530.5
480.0,502.6,-22.600000000000023
150.0,170.4,-20.400000000000006
640.0,569.3,70.70000000000005
65280.0,61435.8,3844.199999999997
136900.0,143447.0,-6547.0
350.0,342.3,7.699999999999989
510.0,477.5,32.5
40540.0,41825.5,-1285.5
1290.0,1216.5,73.5
1570.0,1521.8,48.200000000000045
150.0,145.0,5.0
2280.0,2186.0,94.0
710.0,707.1,2.8999999999999773
36720.0,20115.0,16605.0
1158219.97,1192564.8656000018,-34344.89560000179
15040.0,15129.8,-89.79999999999927
22490.0,20643.9,1846.0999999999985
12970.0,13130.5,-160.5
43770.0,41907.3,1862.699999999997
110.0,118.9,-8.900000000000006
250.0,275.4,-25.399999999999977
256280.0,243597.2065000003,12682.793499999709
20630.0,20288.8,341.2000000000007
126700.0,115632.2,11067.800000000003
6390.0,5776.8,613.1999999999998
16110.0,15491.5,618.5
236539.99,223745.2,12794.789999999979
360.0,267.3,92.69999999999999
52980.0,52239.4,740.5999999999985
651930.0,519446.6,132483.40000000002
900.0,910.0,-10.0
127590.0,125465.9,2124.100000000006
3250.0,3230.5,19.5
5080.0,4133.6,946.3999999999996
19310.0,17665.6,1644.4000000000015
56860.0,54370.4,2489.5999999999985
202740.01,200152.59939999998,2587.410600000032
3600.0,3428.5,171.5
10.0,11.1,-1.0999999999999996
11190.0,10389.3,800.7000000000007
7550.0,7876.1,-326.10000000000036
77510.0,76425.2,1084.800000000003
24720.0,25052.7,-332.7000000000007
460.0,450.0,10.0
2810.0,3151.1,-341.0999999999999
150.0,160.2,-10.199999999999989
37100.0,47883.0,-10783.0
380650.0,358030.4,22619.599999999977
85130.0,85820.9,-690.8999999999942
14120.0,12413.3,1706.7000000000007
30700.0,41280.7,-10580.699999999997
530.0,537.5,-7.5
81660.0,81623.6,36.39999999999418
1550.0,1532.0,18.0
27960.0,27632.8,327.2000000000007
9120.0,8882.4,237.60000000000036
58650.0,61533.8,-2883.800000000003
26490.0,27913.7,-1423.7000000000007
510.0,522.1,-12.100000000000023
257040.01,255738.80660000027,1301.2033999997366
340.0,262.5,77.5
30.0,31.1,-1.1000000000000014
7090.0,7336.1,-246.10000000000036
19030.0,19015.3,14.700000000000728
360.0,411.9,-51.89999999999998
78650.0,81519.0,-2869.0
185300.0,163807.10539999988,21492.894600000116
390.0,387.9,2.1000000000000227
2570.0,2410.3,159.69999999999982
3070510.0,3112290.1,-41780.10000000009
2220.0,3160.4,-940.4000000000001
13210.0,12950.9,259.10000000000036
10250.0,10423.0,-173.0
5630.0,5692.4,-62.399999999999636
20660.0,20309.3,350.7000000000007
145420.0,136045.70699999985,9374.29300000015
1060.0,1039.6,20.40000000000009
220.0,224.2,-4.199999999999989
127660.0,137655.201,-9995.201000000001
48730.0,52197.5,-3467.5
72480.0,77404.0,-4924.0
20110.0,19522.2,587.7999999999993
8520.0,9194.3,-674.2999999999993
500.0,589.3,-89.29999999999995
69700.0,70508.2,-808.1999999999971
3370.0,4315.7,-945.6999999999998
70.0,61.7,8.299999999999997
2163530.0,2073092.2,90437.80000000005
11070.0,11019.7,50.29999999999927
164110.0,160911.0,3199.0
56040.0,47989.2,8050.800000000003
3230.0,4069.3,-839.3000000000002
210.0,219.9,-9.900000000000006
940.0,904.3,35.700000000000045
333890.01,312915.5034000003,20974.50659999973
73950.0,74541.1,-591.1000000000058
338420.01,334266.70750000054,4153.302499999467
170.0,159.0,11.0
200.0,198.8,1.1999999999999886
4810.0,4563.8,246.19999999999982
1100.0,1127.8,-27.799999999999955
307140.01,320534.2069000005,-13394.196900000505
10.0,35.5,-25.5
17610.0,16152.8,1457.2000000000007
10400.0,12803.3,-2403.2999999999993
4990.0,5789.9,-799.8999999999996
74380.0,73851.0,529.0
58270.0,58591.4,-321.40000000000146
236649.99,220020.4,16629.589999999997
242030.0,204010.10180000003,38019.89819999997
560.0,459.8,100.19999999999999
900.0,913.0,-13.0
24240.0,27406.4,-3166.4000000000015
7330.0,7210.2,119.80000000000018
59550.0,55741.8,3808.199999999997
7030.0,6557.1,472.89999999999964
440.0,464.5,-24.5
29950.0,28053.8,1896.2000000000007
37440.0,37138.4,301.59999999999854
11850.0,12306.3,-456.2999999999993
9910.0,10262.6,-352.60000000000036
6200.0,5727.9,472.10000000000036
3470.0,3286.4,183.5999999999999
20810.0,25136.0,-4326.0
299890.01,294658.2973,5231.712700000033
2200.0,3067.2,-867.1999999999998
2767670.0,2597758.2,169911.7999999998
20200.0,20883.8,-683.7999999999993
1310.0,1228.4,81.59999999999991
147740.01,140064.39820000005,7675.611799999955
2600.0,2357.8,242.19999999999982
500.0,497.2,2.8000000000000114
450.0,467.3,-17.30000000000001
8370.0,8958.7,-588.7000000000007
3088620.0,2735767.3,352852.7000000002
5210.0,4701.2,508.8000000000002
360.0,456.9,-96.89999999999998
85050.0,88457.6,-3407.600000000006
510.0,582.2,-72.20000000000005
